INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
17,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3QQP,Homo sapiens
22,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4HFR,Homo sapiens
11,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3FCO,Homo sapiens
13,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3H6K,Homo sapiens
15,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3OQ1,Homo sapiens
1,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,2ILT,Homo sapiens
4,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3BYZ,Homo sapiens
5,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3BZU,Homo sapiens
2,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,2IRW,Homo sapiens
16,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3PDJ,Homo sapiens
23,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4HX5,Homo sapiens
3,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,2RBE,Homo sapiens
26,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4YYZ,Homo sapiens
24,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4K1L,Homo sapiens
18,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4BB5,Homo sapiens
27,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,6NJ7,Homo sapiens
20,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4C7J,Homo sapiens
7,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3D3E,Homo sapiens
10,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3EY4,Homo sapiens
14,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3HFG,Homo sapiens
19,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,4BB6,Homo sapiens
6,11-Beta-Hydroxysteroid Dehydrogenase 1,1.1.1.146,3CZR,Homo sapiens
