INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
8,Acetylcholinesterase,3.1.1.7,4EY7,Homo sapiens
26,Acetylcholinesterase,3.1.1.7,6F25,Homo sapiens
6,Acetylcholinesterase,3.1.1.7,4EY5,Homo sapiens
34,Acetylcholinesterase,3.1.1.7,6NTO,Homo sapiens
4,Acetylcholinesterase,3.1.1.7,4BDT,Homo sapiens
37,Acetylcholinesterase,3.1.1.7,6O50,Homo sapiens
24,Acetylcholinesterase,3.1.1.7,6CQY,Homo sapiens
44,Acetylcholinesterase,3.1.1.7,6U37,Homo sapiens
33,Acetylcholinesterase,3.1.1.7,6NTN,Homo sapiens
49,Acetylcholinesterase,3.1.1.7,6WV1,Homo sapiens
15,Acetylcholinesterase,3.1.1.7,5HF8,Homo sapiens
9,Acetylcholinesterase,3.1.1.7,4EY8,Homo sapiens
16,Acetylcholinesterase,3.1.1.7,5HF9,Homo sapiens
30,Acetylcholinesterase,3.1.1.7,6NTK,Homo sapiens
36,Acetylcholinesterase,3.1.1.7,6O4X,Homo sapiens
25,Acetylcholinesterase,3.1.1.7,6CQZ,Homo sapiens
11,Acetylcholinesterase,3.1.1.7,4M0F,Homo sapiens
0,Acetylcholinesterase,3.1.1.7,1B41,Homo sapiens
46,Acetylcholinesterase,3.1.1.7,6WUV,Homo sapiens
27,Acetylcholinesterase,3.1.1.7,6NEA,Homo sapiens
31,Acetylcholinesterase,3.1.1.7,6NTL,Homo sapiens
39,Acetylcholinesterase,3.1.1.7,6O5R,Homo sapiens
29,Acetylcholinesterase,3.1.1.7,6NTH,Homo sapiens
45,Acetylcholinesterase,3.1.1.7,6U3P,Homo sapiens
1,Acetylcholinesterase,3.1.1.7,1F8U,Homo sapiens
21,Acetylcholinesterase,3.1.1.7,6CQV,Homo sapiens
2,Acetylcholinesterase,3.1.1.7,2X8B,Homo sapiens
40,Acetylcholinesterase,3.1.1.7,6O5S,Homo sapiens
35,Acetylcholinesterase,3.1.1.7,6O4W,Homo sapiens
23,Acetylcholinesterase,3.1.1.7,6CQX,Homo sapiens
48,Acetylcholinesterase,3.1.1.7,6WUZ,Homo sapiens
10,Acetylcholinesterase,3.1.1.7,4M0E,Homo sapiens
22,Acetylcholinesterase,3.1.1.7,6CQW,Homo sapiens
18,Acetylcholinesterase,3.1.1.7,5HQ3,Homo sapiens
52,Acetylcholinesterase,3.1.1.7,6WVQ,Homo sapiens
20,Acetylcholinesterase,3.1.1.7,6CQU,Homo sapiens
7,Acetylcholinesterase,3.1.1.7,4EY6,Homo sapiens
42,Acetylcholinesterase,3.1.1.7,6O66,Homo sapiens
14,Acetylcholinesterase,3.1.1.7,5HF6,Homo sapiens
28,Acetylcholinesterase,3.1.1.7,6NTG,Homo sapiens
51,Acetylcholinesterase,3.1.1.7,6WVP,Homo sapiens
38,Acetylcholinesterase,3.1.1.7,6O52,Homo sapiens
5,Acetylcholinesterase,3.1.1.7,4EY4,Homo sapiens
