INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
70,Coagulation Factor XA,3.4.21.6,2VVC,Homo sapiens
78,Coagulation Factor XA,3.4.21.6,2W3I,Homo sapiens
47,Coagulation Factor XA,3.4.21.6,2G00,Homo sapiens
0,Coagulation Factor XA,3.4.21.6,1EZQ,Homo sapiens
12,Coagulation Factor XA,3.4.21.6,1IQI,Homo sapiens
42,Coagulation Factor XA,3.4.21.6,2D1J,Homo sapiens
127,Coagulation Factor XA,3.4.21.6,4ZHA,Homo sapiens
24,Coagulation Factor XA,3.4.21.6,1MQ6,Homo sapiens
67,Coagulation Factor XA,3.4.21.6,2UWP,Homo sapiens
112,Coagulation Factor XA,3.4.21.6,3Q3K,Homo sapiens
89,Coagulation Factor XA,3.4.21.6,2Y5F,Homo sapiens
15,Coagulation Factor XA,3.4.21.6,1IQL,Homo sapiens
77,Coagulation Factor XA,3.4.21.6,2W26,Homo sapiens
22,Coagulation Factor XA,3.4.21.6,1LQD,Homo sapiens
44,Coagulation Factor XA,3.4.21.6,2EI7,Homo sapiens
65,Coagulation Factor XA,3.4.21.6,2UWL,Homo sapiens
96,Coagulation Factor XA,3.4.21.6,2Y82,Homo sapiens
30,Coagulation Factor XA,3.4.21.6,1V3X,Homo sapiens
62,Coagulation Factor XA,3.4.21.6,2PR3,Homo sapiens
122,Coagulation Factor XA,3.4.21.6,4Y76,Homo sapiens
9,Coagulation Factor XA,3.4.21.6,1IQF,Homo sapiens
33,Coagulation Factor XA,3.4.21.6,1XKB,Homo sapiens
66,Coagulation Factor XA,3.4.21.6,2UWO,Homo sapiens
25,Coagulation Factor XA,3.4.21.6,1NFU,Homo sapiens
116,Coagulation Factor XA,3.4.21.6,4A7I,Homo sapiens
28,Coagulation Factor XA,3.4.21.6,1NFY,Homo sapiens
98,Coagulation Factor XA,3.4.21.6,3CS7,Homo sapiens
126,Coagulation Factor XA,3.4.21.6,4ZH8,Homo sapiens
53,Coagulation Factor XA,3.4.21.6,2J95,Homo sapiens
5,Coagulation Factor XA,3.4.21.6,1G2L,Homo sapiens
68,Coagulation Factor XA,3.4.21.6,2VH0,Homo sapiens
73,Coagulation Factor XA,3.4.21.6,2VWL,Homo sapiens
39,Coagulation Factor XA,3.4.21.6,2BQ7,Homo sapiens
49,Coagulation Factor XA,3.4.21.6,2J34,Homo sapiens
35,Coagulation Factor XA,3.4.21.6,2BMG,Homo sapiens
16,Coagulation Factor XA,3.4.21.6,1IQM,Homo sapiens
123,Coagulation Factor XA,3.4.21.6,4Y79,Homo sapiens
34,Coagulation Factor XA,3.4.21.6,1Z6E,Homo sapiens
85,Coagulation Factor XA,3.4.21.6,2XBY,Homo sapiens
7,Coagulation Factor XA,3.4.21.6,1IOE,Homo sapiens
43,Coagulation Factor XA,3.4.21.6,2EI6,Homo sapiens
76,Coagulation Factor XA,3.4.21.6,2VWO,Homo sapiens
104,Coagulation Factor XA,3.4.21.6,3KL6,Homo sapiens
109,Coagulation Factor XA,3.4.21.6,3LIW,Homo sapiens
8,Coagulation Factor XA,3.4.21.6,1IQE,Homo sapiens
13,Coagulation Factor XA,3.4.21.6,1IQJ,Homo sapiens
94,Coagulation Factor XA,3.4.21.6,2Y80,Homo sapiens
3,Coagulation Factor XA,3.4.21.6,1FAX,Homo sapiens
17,Coagulation Factor XA,3.4.21.6,1IQN,Homo sapiens
38,Coagulation Factor XA,3.4.21.6,2BQ6,Homo sapiens
72,Coagulation Factor XA,3.4.21.6,2VVV,Homo sapiens
101,Coagulation Factor XA,3.4.21.6,3HPT,Homo sapiens
6,Coagulation Factor XA,3.4.21.6,1G2M,Homo sapiens
83,Coagulation Factor XA,3.4.21.6,2XBW,Homo sapiens
111,Coagulation Factor XA,3.4.21.6,3M37,Homo sapiens
113,Coagulation Factor XA,3.4.21.6,3SW2,Homo sapiens
54,Coagulation Factor XA,3.4.21.6,2JKH,Homo sapiens
50,Coagulation Factor XA,3.4.21.6,2J38,Homo sapiens
118,Coagulation Factor XA,3.4.21.6,4BTT,Homo sapiens
46,Coagulation Factor XA,3.4.21.6,2FZZ,Homo sapiens
107,Coagulation Factor XA,3.4.21.6,3KQD,Homo sapiens
61,Coagulation Factor XA,3.4.21.6,2PHB,Homo sapiens
125,Coagulation Factor XA,3.4.21.6,4Y7B,Homo sapiens
79,Coagulation Factor XA,3.4.21.6,2W3K,Homo sapiens
120,Coagulation Factor XA,3.4.21.6,4Y6D,Homo sapiens
91,Coagulation Factor XA,3.4.21.6,2Y5H,Homo sapiens
41,Coagulation Factor XA,3.4.21.6,2CJI,Homo sapiens
58,Coagulation Factor XA,3.4.21.6,2P93,Homo sapiens
90,Coagulation Factor XA,3.4.21.6,2Y5G,Homo sapiens
48,Coagulation Factor XA,3.4.21.6,2J2U,Homo sapiens
88,Coagulation Factor XA,3.4.21.6,2XC5,Homo sapiens
110,Coagulation Factor XA,3.4.21.6,3M36,Homo sapiens
57,Coagulation Factor XA,3.4.21.6,2P3U,Homo sapiens
75,Coagulation Factor XA,3.4.21.6,2VWN,Homo sapiens
32,Coagulation Factor XA,3.4.21.6,1XKA,Homo sapiens
