INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
3,Cyclooxygenase-2,1.14.99.1,1PXX,Mus musculus
6,Cyclooxygenase-2,1.14.99.1,3HS7,Mus musculus
27,Cyclooxygenase-2,1.14.99.1,4M11,Mus musculus
31,Cyclooxygenase-2,1.14.99.1,4RRW,Mus musculus
19,Cyclooxygenase-2,1.14.99.1,3QH0,Mus musculus
17,Cyclooxygenase-2,1.14.99.1,3PGH,Mus musculus
13,Cyclooxygenase-2,1.14.99.1,3NTB,Mus musculus
41,Cyclooxygenase-2,1.14.99.1,6COX,Mus musculus
15,Cyclooxygenase-2,1.14.99.1,3OLT,Mus musculus
9,Cyclooxygenase-2,1.14.99.1,3LN1,Mus musculus
16,Cyclooxygenase-2,1.14.99.1,3OLU,Mus musculus
30,Cyclooxygenase-2,1.14.99.1,4PH9,Mus musculus
26,Cyclooxygenase-2,1.14.99.1,4M10,Mus musculus
0,Cyclooxygenase-2,1.14.99.1,1CVU,Mus musculus
29,Cyclooxygenase-2,1.14.99.1,4OTY,Mus musculus
42,Cyclooxygenase-2,1.14.99.1,6OFY,Mus musculus
5,Cyclooxygenase-2,1.14.99.1,3HS6,Mus musculus
11,Cyclooxygenase-2,1.14.99.1,3MQE,Mus musculus
32,Cyclooxygenase-2,1.14.99.1,4RRX,Mus musculus
1,Cyclooxygenase-2,1.14.99.1,1CX2,Mus musculus
39,Cyclooxygenase-2,1.14.99.1,6BL3,Mus musculus
21,Cyclooxygenase-2,1.14.99.1,3RR3,Mus musculus
2,Cyclooxygenase-2,1.14.99.1,1DDX,Mus musculus
33,Cyclooxygenase-2,1.14.99.1,4RRY,Mus musculus
23,Cyclooxygenase-2,1.14.99.1,4COX,Mus musculus
35,Cyclooxygenase-2,1.14.99.1,4RS0,Mus musculus
10,Cyclooxygenase-2,1.14.99.1,3MDL,Mus musculus
22,Cyclooxygenase-2,1.14.99.1,3TZI,Mus musculus
18,Cyclooxygenase-2,1.14.99.1,3Q7D,Mus musculus
43,Cyclooxygenase-2,1.14.99.1,6V3R,Mus musculus
20,Cyclooxygenase-2,1.14.99.1,3QMO,Mus musculus
7,Cyclooxygenase-2,1.14.99.1,3KRK,Mus musculus
14,Cyclooxygenase-2,1.14.99.1,3NTG,Mus musculus
28,Cyclooxygenase-2,1.14.99.1,4OTJ,Mus musculus
38,Cyclooxygenase-2,1.14.99.1,5W58,Mus musculus
