INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
49,Dipeptidyl Peptidase IV,3.4.14.5,3H0C,Homo sapiens
70,Dipeptidyl Peptidase IV,3.4.14.5,4DSA,Homo sapiens
68,Dipeptidyl Peptidase IV,3.4.14.5,3WQH,Homo sapiens
15,Dipeptidyl Peptidase IV,3.4.14.5,2G63,Homo sapiens
39,Dipeptidyl Peptidase IV,3.4.14.5,3C45,Homo sapiens
33,Dipeptidyl Peptidase IV,3.4.14.5,2QT9,Homo sapiens
9,Dipeptidyl Peptidase IV,3.4.14.5,2BGN,Homo sapiens
80,Dipeptidyl Peptidase IV,3.4.14.5,4N8E,Homo sapiens
11,Dipeptidyl Peptidase IV,3.4.14.5,2BUB,Homo sapiens
65,Dipeptidyl Peptidase IV,3.4.14.5,3VJL,Homo sapiens
93,Dipeptidyl Peptidase IV,3.4.14.5,5Y7J,Homo sapiens
30,Dipeptidyl Peptidase IV,3.4.14.5,2QJR,Homo sapiens
28,Dipeptidyl Peptidase IV,3.4.14.5,2OQV,Homo sapiens
88,Dipeptidyl Peptidase IV,3.4.14.5,5T4B,Homo sapiens
5,Dipeptidyl Peptidase IV,3.4.14.5,1W1I,Homo sapiens
45,Dipeptidyl Peptidase IV,3.4.14.5,3G0B,Homo sapiens
69,Dipeptidyl Peptidase IV,3.4.14.5,4A5S,Homo sapiens
35,Dipeptidyl Peptidase IV,3.4.14.5,2RGU,Homo sapiens
16,Dipeptidyl Peptidase IV,3.4.14.5,2HHA,Homo sapiens
72,Dipeptidyl Peptidase IV,3.4.14.5,4DTC,Homo sapiens
34,Dipeptidyl Peptidase IV,3.4.14.5,2QTB,Homo sapiens
7,Dipeptidyl Peptidase IV,3.4.14.5,1X70,Homo sapiens
55,Dipeptidyl Peptidase IV,3.4.14.5,3O95,Homo sapiens
27,Dipeptidyl Peptidase IV,3.4.14.5,2OQI,Homo sapiens
19,Dipeptidyl Peptidase IV,3.4.14.5,2IIT,Homo sapiens
79,Dipeptidyl Peptidase IV,3.4.14.5,4N8D,Homo sapiens
25,Dipeptidyl Peptidase IV,3.4.14.5,2ONC,Homo sapiens
53,Dipeptidyl Peptidase IV,3.4.14.5,3KWJ,Homo sapiens
13,Dipeptidyl Peptidase IV,3.4.14.5,2G5P,Homo sapiens
24,Dipeptidyl Peptidase IV,3.4.14.5,2OLE,Homo sapiens
3,Dipeptidyl Peptidase IV,3.4.14.5,1RWQ,Homo sapiens
17,Dipeptidyl Peptidase IV,3.4.14.5,2I03,Homo sapiens
38,Dipeptidyl Peptidase IV,3.4.14.5,3C43,Homo sapiens
8,Dipeptidyl Peptidase IV,3.4.14.5,2AJL,Homo sapiens
76,Dipeptidyl Peptidase IV,3.4.14.5,4KR0,Homo sapiens
6,Dipeptidyl Peptidase IV,3.4.14.5,1WCY,Homo sapiens
78,Dipeptidyl Peptidase IV,3.4.14.5,4LKO,Homo sapiens
36,Dipeptidyl Peptidase IV,3.4.14.5,2RIP,Homo sapiens
85,Dipeptidyl Peptidase IV,3.4.14.5,5ISM,Homo sapiens
56,Dipeptidyl Peptidase IV,3.4.14.5,3O9V,Homo sapiens
97,Dipeptidyl Peptidase IV,3.4.14.5,6B1O,Homo sapiens
54,Dipeptidyl Peptidase IV,3.4.14.5,3NOX,Homo sapiens
43,Dipeptidyl Peptidase IV,3.4.14.5,3EIO,Homo sapiens
50,Dipeptidyl Peptidase IV,3.4.14.5,3HAB,Homo sapiens
66,Dipeptidyl Peptidase IV,3.4.14.5,3VJM,Homo sapiens
46,Dipeptidyl Peptidase IV,3.4.14.5,3G0C,Homo sapiens
67,Dipeptidyl Peptidase IV,3.4.14.5,3W2T,Homo sapiens
61,Dipeptidyl Peptidase IV,3.4.14.5,3QBJ,Homo sapiens
95,Dipeptidyl Peptidase IV,3.4.14.5,5ZID,Homo sapiens
77,Dipeptidyl Peptidase IV,3.4.14.5,4L72,Homo sapiens
41,Dipeptidyl Peptidase IV,3.4.14.5,3CCC,Homo sapiens
58,Dipeptidyl Peptidase IV,3.4.14.5,3OPM,Homo sapiens
48,Dipeptidyl Peptidase IV,3.4.14.5,3G0G,Homo sapiens
84,Dipeptidyl Peptidase IV,3.4.14.5,5I7U,Homo sapiens
57,Dipeptidyl Peptidase IV,3.4.14.5,3OC0,Homo sapiens
32,Dipeptidyl Peptidase IV,3.4.14.5,2QOE,Homo sapiens
96,Dipeptidyl Peptidase IV,3.4.14.5,6B1E,Homo sapiens
59,Dipeptidyl Peptidase IV,3.4.14.5,3Q0T,Homo sapiens
63,Dipeptidyl Peptidase IV,3.4.14.5,3SX4,Homo sapiens
91,Dipeptidyl Peptidase IV,3.4.14.5,5T4H,Homo sapiens
37,Dipeptidyl Peptidase IV,3.4.14.5,3BJM,Homo sapiens
29,Dipeptidyl Peptidase IV,3.4.14.5,2P8S,Homo sapiens
1,Dipeptidyl Peptidase IV,3.4.14.5,1NU8,Homo sapiens
52,Dipeptidyl Peptidase IV,3.4.14.5,3KWF,Homo sapiens
21,Dipeptidyl Peptidase IV,3.4.14.5,2JID,Homo sapiens
2,Dipeptidyl Peptidase IV,3.4.14.5,1R9N,Homo sapiens
23,Dipeptidyl Peptidase IV,3.4.14.5,2OGZ,Homo sapiens
87,Dipeptidyl Peptidase IV,3.4.14.5,5KBY,Homo sapiens
89,Dipeptidyl Peptidase IV,3.4.14.5,5T4E,Homo sapiens
74,Dipeptidyl Peptidase IV,3.4.14.5,4J3J,Homo sapiens
86,Dipeptidyl Peptidase IV,3.4.14.5,5J3J,Homo sapiens
82,Dipeptidyl Peptidase IV,3.4.14.5,4PV7,Homo sapiens
20,Dipeptidyl Peptidase IV,3.4.14.5,2IIV,Homo sapiens
60,Dipeptidyl Peptidase IV,3.4.14.5,3Q8W,Homo sapiens
71,Dipeptidyl Peptidase IV,3.4.14.5,4DSZ,Homo sapiens
14,Dipeptidyl Peptidase IV,3.4.14.5,2G5T,Homo sapiens
92,Dipeptidyl Peptidase IV,3.4.14.5,5Y7H,Homo sapiens
51,Dipeptidyl Peptidase IV,3.4.14.5,3HAC,Homo sapiens
