INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
8,Monoamine Oxidase B,1.4.3.4,1S3E,Homo sapiens
3,Monoamine Oxidase B,1.4.3.4,1OJC,Homo sapiens
6,Monoamine Oxidase B,1.4.3.4,1S2Y,Homo sapiens
40,Monoamine Oxidase B,1.4.3.4,6FVZ,Homo sapiens
33,Monoamine Oxidase B,1.4.3.4,2XFU,Homo sapiens
13,Monoamine Oxidase B,1.4.3.4,2C64,Homo sapiens
17,Monoamine Oxidase B,1.4.3.4,2C70,Homo sapiens
44,Monoamine Oxidase B,1.4.3.4,6RKP,Homo sapiens
15,Monoamine Oxidase B,1.4.3.4,2C66,Homo sapiens
9,Monoamine Oxidase B,1.4.3.4,2BK3,Homo sapiens
16,Monoamine Oxidase B,1.4.3.4,2C67,Homo sapiens
29,Monoamine Oxidase B,1.4.3.4,2XFN,Homo sapiens
32,Monoamine Oxidase B,1.4.3.4,2XFQ,Homo sapiens
45,Monoamine Oxidase B,1.4.3.4,6RLE,Homo sapiens
0,Monoamine Oxidase B,1.4.3.4,1GOS,Homo sapiens
31,Monoamine Oxidase B,1.4.3.4,2XFP,Homo sapiens
30,Monoamine Oxidase B,1.4.3.4,2XFO,Homo sapiens
5,Monoamine Oxidase B,1.4.3.4,1S2Q,Homo sapiens
11,Monoamine Oxidase B,1.4.3.4,2BK5,Homo sapiens
34,Monoamine Oxidase B,1.4.3.4,3PO7,Homo sapiens
1,Monoamine Oxidase B,1.4.3.4,1OJ9,Homo sapiens
41,Monoamine Oxidase B,1.4.3.4,6FW0,Homo sapiens
21,Monoamine Oxidase B,1.4.3.4,2C76,Homo sapiens
2,Monoamine Oxidase B,1.4.3.4,1OJA,Homo sapiens
35,Monoamine Oxidase B,1.4.3.4,3ZYX,Homo sapiens
23,Monoamine Oxidase B,1.4.3.4,2V60,Homo sapiens
37,Monoamine Oxidase B,1.4.3.4,4A7A,Homo sapiens
10,Monoamine Oxidase B,1.4.3.4,2BK4,Homo sapiens
22,Monoamine Oxidase B,1.4.3.4,2V5Z,Homo sapiens
18,Monoamine Oxidase B,1.4.3.4,2C72,Homo sapiens
46,Monoamine Oxidase B,1.4.3.4,6YT2,Homo sapiens
20,Monoamine Oxidase B,1.4.3.4,2C75,Homo sapiens
7,Monoamine Oxidase B,1.4.3.4,1S3B,Homo sapiens
42,Monoamine Oxidase B,1.4.3.4,6FWC,Homo sapiens
14,Monoamine Oxidase B,1.4.3.4,2C65,Homo sapiens
28,Monoamine Oxidase B,1.4.3.4,2XCG,Homo sapiens
38,Monoamine Oxidase B,1.4.3.4,4CRT,Homo sapiens
