INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
183,P38 MAP Kinase,2.7.11.24,5XYX,Homo sapiens
38,P38 MAP Kinase,2.7.11.24,2YIX,Homo sapiens
24,P38 MAP Kinase,2.7.11.24,1ZYJ,Homo sapiens
142,P38 MAP Kinase,2.7.11.24,4AA0,Homo sapiens
141,P38 MAP Kinase,2.7.11.24,4A9Y,Homo sapiens
29,P38 MAP Kinase,2.7.11.24,2BAL,Homo sapiens
19,P38 MAP Kinase,2.7.11.24,1WBS,Homo sapiens
169,P38 MAP Kinase,2.7.11.24,5ML5,Homo sapiens
127,P38 MAP Kinase,2.7.11.24,3QUE,Homo sapiens
118,P38 MAP Kinase,2.7.11.24,3NEW,Homo sapiens
56,P38 MAP Kinase,2.7.11.24,3FKO,Homo sapiens
5,P38 MAP Kinase,2.7.11.24,1IAN,Homo sapiens
122,P38 MAP Kinase,2.7.11.24,3NNX,Homo sapiens
113,P38 MAP Kinase,2.7.11.24,3LHJ,Homo sapiens
93,P38 MAP Kinase,2.7.11.24,3HV7,Homo sapiens
139,P38 MAP Kinase,2.7.11.24,3ZSI,Homo sapiens
95,P38 MAP Kinase,2.7.11.24,3IPH,Homo sapiens
171,P38 MAP Kinase,2.7.11.24,5MTY,Homo sapiens
196,P38 MAP Kinase,2.7.11.24,6SFK,Homo sapiens
168,P38 MAP Kinase,2.7.11.24,4R3C,Homo sapiens
140,P38 MAP Kinase,2.7.11.24,3ZYA,Homo sapiens
31,P38 MAP Kinase,2.7.11.24,2GFS,Homo sapiens
12,P38 MAP Kinase,2.7.11.24,1OZ1,Homo sapiens
35,P38 MAP Kinase,2.7.11.24,2RG6,Homo sapiens
115,P38 MAP Kinase,2.7.11.24,3MVL,Homo sapiens
42,P38 MAP Kinase,2.7.11.24,3BV2,Homo sapiens
73,P38 MAP Kinase,2.7.11.24,3GCP,Homo sapiens
136,P38 MAP Kinase,2.7.11.24,3ZS5,Homo sapiens
135,P38 MAP Kinase,2.7.11.24,3UVR,Homo sapiens
51,P38 MAP Kinase,2.7.11.24,3E93,Homo sapiens
104,P38 MAP Kinase,2.7.11.24,3KQ7,Homo sapiens
161,P38 MAP Kinase,2.7.11.24,4F9W,Homo sapiens
41,P38 MAP Kinase,2.7.11.24,2ZB1,Homo sapiens
114,P38 MAP Kinase,2.7.11.24,3MPT,Homo sapiens
109,P38 MAP Kinase,2.7.11.24,3LFC,Homo sapiens
26,P38 MAP Kinase,2.7.11.24,1ZZL,Homo sapiens
132,P38 MAP Kinase,2.7.11.24,3U8W,Homo sapiens
97,P38 MAP Kinase,2.7.11.24,3IW5,Homo sapiens
165,P38 MAP Kinase,2.7.11.24,4KIP,Homo sapiens
2,P38 MAP Kinase,2.7.11.24,1BL7,Homo sapiens
77,P38 MAP Kinase,2.7.11.24,3GFE,Homo sapiens
46,P38 MAP Kinase,2.7.11.24,3D7Z,Homo sapiens
112,P38 MAP Kinase,2.7.11.24,3LFF,Homo sapiens
185,P38 MAP Kinase,2.7.11.24,6ANL,Homo sapiens
138,P38 MAP Kinase,2.7.11.24,3ZSH,Homo sapiens
36,P38 MAP Kinase,2.7.11.24,2YIS,Homo sapiens
61,P38 MAP Kinase,2.7.11.24,3FLW,Homo sapiens
22,P38 MAP Kinase,2.7.11.24,1WBW,Homo sapiens
162,P38 MAP Kinase,2.7.11.24,4F9Y,Homo sapiens
98,P38 MAP Kinase,2.7.11.24,3IW6,Homo sapiens
33,P38 MAP Kinase,2.7.11.24,2QD9,Homo sapiens
11,P38 MAP Kinase,2.7.11.24,1OVE,Homo sapiens
193,P38 MAP Kinase,2.7.11.24,6QE1,Homo sapiens
158,P38 MAP Kinase,2.7.11.24,4EH9,Homo sapiens
6,P38 MAP Kinase,2.7.11.24,1KV1,Homo sapiens
27,P38 MAP Kinase,2.7.11.24,2BAJ,Homo sapiens
186,P38 MAP Kinase,2.7.11.24,6HWT,Homo sapiens
4,P38 MAP Kinase,2.7.11.24,1DI9,Homo sapiens
32,P38 MAP Kinase,2.7.11.24,2I0H,Homo sapiens
100,P38 MAP Kinase,2.7.11.24,3IW8,Homo sapiens
144,P38 MAP Kinase,2.7.11.24,4AA5,Homo sapiens
194,P38 MAP Kinase,2.7.11.24,6SFI,Homo sapiens
143,P38 MAP Kinase,2.7.11.24,4AA4,Homo sapiens
10,P38 MAP Kinase,2.7.11.24,1OUY,Homo sapiens
62,P38 MAP Kinase,2.7.11.24,3FLY,Homo sapiens
117,P38 MAP Kinase,2.7.11.24,3MW1,Homo sapiens
145,P38 MAP Kinase,2.7.11.24,4AAC,Homo sapiens
0,P38 MAP Kinase,2.7.11.24,1A9U,Homo sapiens
178,P38 MAP Kinase,2.7.11.24,5OMG,Homo sapiens
152,P38 MAP Kinase,2.7.11.24,4EH3,Homo sapiens
70,P38 MAP Kinase,2.7.11.24,3FSF,Homo sapiens
119,P38 MAP Kinase,2.7.11.24,3NNU,Homo sapiens
64,P38 MAP Kinase,2.7.11.24,3FMH,Homo sapiens
44,P38 MAP Kinase,2.7.11.24,3BX5,Homo sapiens
181,P38 MAP Kinase,2.7.11.24,5TCO,Homo sapiens
28,P38 MAP Kinase,2.7.11.24,2BAK,Homo sapiens
40,P38 MAP Kinase,2.7.11.24,2ZB0,Homo sapiens
