INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
25,Phosphodiesterase-5,3.1.4.35,4OEX,Homo sapiens
12,Phosphodiesterase-5,3.1.4.35,3B2R,Homo sapiens
0,Phosphodiesterase-5,3.1.4.35,1RKP,Homo sapiens
4,Phosphodiesterase-5,3.1.4.35,1UDT,Homo sapiens
16,Phosphodiesterase-5,3.1.4.35,3SIE,Homo sapiens
5,Phosphodiesterase-5,3.1.4.35,1UDU,Homo sapiens
13,Phosphodiesterase-5,3.1.4.35,3BJC,Homo sapiens
11,Phosphodiesterase-5,3.1.4.35,2XSS,Homo sapiens
23,Phosphodiesterase-5,3.1.4.35,4MD6,Homo sapiens
1,Phosphodiesterase-5,3.1.4.35,1T9R,Homo sapiens
2,Phosphodiesterase-5,3.1.4.35,1T9S,Homo sapiens
26,Phosphodiesterase-5,3.1.4.35,5JO3,Homo sapiens
3,Phosphodiesterase-5,3.1.4.35,1TBF,Homo sapiens
21,Phosphodiesterase-5,3.1.4.35,4I9Z,Homo sapiens
27,Phosphodiesterase-5,3.1.4.35,5ZZ2,Homo sapiens
22,Phosphodiesterase-5,3.1.4.35,4IA0,Homo sapiens
18,Phosphodiesterase-5,3.1.4.35,3TGG,Homo sapiens
31,Phosphodiesterase-5,3.1.4.35,6VBI,Homo sapiens
20,Phosphodiesterase-5,3.1.4.35,4G2Y,Homo sapiens
7,Phosphodiesterase-5,3.1.4.35,1XOZ,Homo sapiens
10,Phosphodiesterase-5,3.1.4.35,2H44,Homo sapiens
14,Phosphodiesterase-5,3.1.4.35,3SHY,Homo sapiens
28,Phosphodiesterase-5,3.1.4.35,6ACB,Homo sapiens
19,Phosphodiesterase-5,3.1.4.35,4G2W,Homo sapiens
6,Phosphodiesterase-5,3.1.4.35,1UHO,Homo sapiens
