INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
53,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2BGE,Homo sapiens
22,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1L8G,Homo sapiens
68,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2F6Z,Homo sapiens
44,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1QXK,Homo sapiens
98,Protein-Tyrosine Phosphatase 1B,3.1.3.48,4Y14,Homo sapiens
15,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1G1H,Homo sapiens
73,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2H4G,Homo sapiens
39,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1Q6M,Homo sapiens
9,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1C88,Homo sapiens
84,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2VEW,Homo sapiens
11,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1EEN,Homo sapiens
101,Protein-Tyrosine Phosphatase 1B,3.1.3.48,5T19,Homo sapiens
55,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2CM8,Homo sapiens
28,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1ONY,Homo sapiens
64,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2F6T,Homo sapiens
5,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1C84,Homo sapiens
78,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2QBP,Homo sapiens
65,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2F6V,Homo sapiens
35,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1PXH,Homo sapiens
16,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1G7F,Homo sapiens
91,Protein-Tyrosine Phosphatase 1B,3.1.3.48,3EAX,Homo sapiens
34,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1PTY,Homo sapiens
7,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1C86,Homo sapiens
43,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1Q6T,Homo sapiens
72,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2FJN,Homo sapiens
27,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1NWL,Homo sapiens
19,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1JF7,Homo sapiens
83,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2VEV,Homo sapiens
25,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1NNY,Homo sapiens
77,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2NTA,Homo sapiens
49,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1XBO,Homo sapiens
13,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1G1F,Homo sapiens
24,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1NL9,Homo sapiens
3,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1BZJ,Homo sapiens
17,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1G7G,Homo sapiens
38,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1Q6J,Homo sapiens
8,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1C87,Homo sapiens
80,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2QBR,Homo sapiens
6,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1C85,Homo sapiens
66,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2F6W,Homo sapiens
36,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1PYN,Homo sapiens
89,Protein-Tyrosine Phosphatase 1B,3.1.3.48,3CWE,Homo sapiens
56,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2CMA,Homo sapiens
95,Protein-Tyrosine Phosphatase 1B,3.1.3.48,4QAH,Homo sapiens
54,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2CM7,Homo sapiens
50,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2AZR,Homo sapiens
69,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2F70,Homo sapiens
46,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1T49,Homo sapiens
70,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2F71,Homo sapiens
61,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2CNG,Homo sapiens
99,Protein-Tyrosine Phosphatase 1B,3.1.3.48,4ZRT,Homo sapiens
81,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2QBS,Homo sapiens
41,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1Q6P,Homo sapiens
58,Protein-Tyrosine Phosphatase 1B,3.1.3.48,2CMC,Homo sapiens
48,Protein-Tyrosine Phosphatase 1B,3.1.3.48,1WAX,Homo sapiens
