INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
55,Soluble Epoxide Hydrolase,3.3.2.10,5AK6,Homo sapiens
22,Soluble Epoxide Hydrolase,3.3.2.10,3WKE,Homo sapiens
76,Soluble Epoxide Hydrolase,3.3.2.10,5ALN,Homo sapiens
44,Soluble Epoxide Hydrolase,3.3.2.10,5AI4,Homo sapiens
72,Soluble Epoxide Hydrolase,3.3.2.10,5ALJ,Homo sapiens
15,Soluble Epoxide Hydrolase,3.3.2.10,3WK7,Homo sapiens
42,Soluble Epoxide Hydrolase,3.3.2.10,4Y2Y,Homo sapiens
40,Soluble Epoxide Hydrolase,3.3.2.10,4Y2V,Homo sapiens
9,Soluble Epoxide Hydrolase,3.3.2.10,3KOO,Homo sapiens
85,Soluble Epoxide Hydrolase,3.3.2.10,5ALW,Homo sapiens
11,Soluble Epoxide Hydrolase,3.3.2.10,3PDC,Homo sapiens
103,Soluble Epoxide Hydrolase,3.3.2.10,6YL4,Homo sapiens
78,Soluble Epoxide Hydrolase,3.3.2.10,5ALP,Homo sapiens
28,Soluble Epoxide Hydrolase,3.3.2.10,4JNC,Homo sapiens
79,Soluble Epoxide Hydrolase,3.3.2.10,5ALQ,Homo sapiens
5,Soluble Epoxide Hydrolase,3.3.2.10,3ANS,Homo sapiens
62,Soluble Epoxide Hydrolase,3.3.2.10,5AKL,Homo sapiens
56,Soluble Epoxide Hydrolase,3.3.2.10,5AKE,Homo sapiens
39,Soluble Epoxide Hydrolase,3.3.2.10,4Y2U,Homo sapiens
35,Soluble Epoxide Hydrolase,3.3.2.10,4Y2Q,Homo sapiens
16,Soluble Epoxide Hydrolase,3.3.2.10,3WK8,Homo sapiens
66,Soluble Epoxide Hydrolase,3.3.2.10,5ALD,Homo sapiens
34,Soluble Epoxide Hydrolase,3.3.2.10,4Y2P,Homo sapiens
7,Soluble Epoxide Hydrolase,3.3.2.10,3I1Y,Homo sapiens
43,Soluble Epoxide Hydrolase,3.3.2.10,5AI0,Homo sapiens
68,Soluble Epoxide Hydrolase,3.3.2.10,5ALF,Homo sapiens
69,Soluble Epoxide Hydrolase,3.3.2.10,5ALG,Homo sapiens
27,Soluble Epoxide Hydrolase,3.3.2.10,4J03,Homo sapiens
19,Soluble Epoxide Hydrolase,3.3.2.10,3WKB,Homo sapiens
84,Soluble Epoxide Hydrolase,3.3.2.10,5ALV,Homo sapiens
25,Soluble Epoxide Hydrolase,3.3.2.10,4C4Z,Homo sapiens
73,Soluble Epoxide Hydrolase,3.3.2.10,5ALK,Homo sapiens
49,Soluble Epoxide Hydrolase,3.3.2.10,5AIA,Homo sapiens
